source,web-scraper-order,price,size,location,classification,roads,price per foot
Property Finder,1746265484-2162,117618,312,North Riffa,RA,1,35
Bahrain Finder,1746267763-304,187998,498.5,Busaiteen,RB,1,35
Bahrain Finder,1746267767-331,117543,312,Budaiya,RHB,2,35
Bahrain Finder,1746267784-459,85000,226.4,Bani Jamrah,RHA,1,35
Bahrain Finder,1746267800-582,126585,336,Guful,RB,2,35
Bahrain Finder,1746267800-583,126585,336,Guful,RB,2,35
Bahrain Finder,1746267816-687,4318194,11462,Maqaba,RG,3,35
Bahrain Finder,1746267828-792,113022,300,Hawrat A'ali,RA,1,35
Bahrain Finder,1746267836-840,137133,364,Buqwa,RA,1,35
Bahrain Finder,1746267836-841,152843,405.7,Karranah,RB,1,35
Bahrain Finder,1746267865-1051,271253,720,Shakhura,RB,1,35
Bahrain Finder,1746267885-1194,115056,305.4,Hidd,RB,1,35
Bahrain Finder,1746267897-1288,363930,966,Jid Ali,RB,1,35
Bahrain Finder,1746267901-1319,148925,395.3,Maqaba,RA,2,35
Bahrain Finder,1746267901-1334,336052,892,Amwaj Island,RA,1,35
Bahrain Finder,1746267910-1394,83184,220.8,Diyar Al Muharraq,RHA,2,35
Bahrain Finder,1746267910-1395,83146,220.7,Muharraq,RHA,2,35
Bahrain Finder,1746267973-1828,118296,314,Zinj,RB,2,35
Bahrain Finder,1746267973-1832,74000,195,Karzakkan,RB,1,35
Bahrain Finder,1746267999-2001,152956,406,Jid Ali,RB,2,35
Bahrain Finder,1746267999-2024,230565,612,Barbar,RHB,2,35
Bahrain Finder,1746268016-2124,117618,312.2,Riffa Al Shamali,RA,1,35
Bahrain Finder,1746268025-2200,45171,119.9,Muharraq,RA,1,35
Bahrain Finder,1746268025-2202,187804,498.5,Busaiteen,RA,1,35
Bahrain Finder,1746268058-2432,193531,513.7,Galali,RA,1,35
Bahrain Finder,1746268103-2775,42572,113,Muharraq,RA,1,35
Bahrain Finder,1746268136-2996,779588,2069.3,Sar,RG,1,35
Bahrain Finder,1746268175-3289,160680,426.5,Janabiyah,RA,2,35
Bahrain Finder,1746268209-3521,68000,180,Busaiteen,RHA,1,35
Bahrain Finder,1746268213-3533,75000,200.2,Hamalah,RHA,1,35
Bahrain Finder,1746268213-3536,123947,329,Northen Sehla,RB,1,35
Bahrain Finder,1746268213-3556,84390,224,Daih,RHB,1,35
Bahrain Finder,1746268222-3619,75000,200,Nuwaydirat,RHA,1,35
Bahrain Finder,1746268233-3691,42835,113.7,Muharraq,RA,1,35
Bahrain Finder,1746268233-3700,42534,112.9,Bu Kowarah,RHB,2,35
Property Finder,1746260073-43,68000,181,Arad,RHA,1,34.9
Bahrain Finder,1746268132-2967,68000,181.2,Arad,RHA,1,34.9
Bahrain Finder,1746268153-3119,75170,200.1,Barbar,RA,2,34.9
Bahrain Finder,1746268158-3155,68070,181.2,Arad,RHA,2,34.9
Property Finder,1746260539-225,75000,200,Nuwaidrat,RHA,1,34.8
Property Finder,1746261728-691,120000,320,Hamad Town,RA,1,34.8
Property Finder,1746263107-1228,73000,195,Hamala,RHA,1,34.8
Property Finder,1746263124-1235,75000,200,Barbar,RHB,1,34.8
Bahrain Finder,1746267885-1193,86005,229.6,Bani Jamrah,RHA,2,34.8
Bahrain Finder,1746267923-1474,70000,186.9,Malkiya,RHA,1,34.8
Bahrain Finder,1746268128-2936,74992,200.2,Hamalah,RA,2,34.8
Bahrain Finder,1746268140-3023,89976,240.2,Diyar Al Muharraq,RHA,1,34.8
Bahrain Finder,1746268149-3086,76000,203.2,Tubli,RB,1,34.8
Property Finder,1746261256-505,147500,395,Sanabis,RHB,1,34.7
Property Finder,1746262703-1070,75719,203,Busaiteen,RHA,1,34.7
Property Finder,1746264438-1748,71000,190,Shahrakan,RHA,1,34.7
Property Finder,1746264726-1863,100000,268,A'Ali,RHB,1,34.7
Property Finder,1746265157-2032,66027,177,Busaiteen,RHA,1,34.7
Bahrain Finder,1746267775-409,70002,187.6,Hamalah,RHA,2,34.7
Bahrain Finder,1746268054-2399,56000,150,Bani Jamrah,RHA,1,34.7
Property Finder,1746260445-189,60000,161,Al Maqsha,RHB,1,34.6
Property Finder,1746261059-428,113523,305,Sanabis,RB,1,34.6
Property Finder,1746261278-514,81215,218,Busaiteen,RHA,1,34.6
Property Finder,1746261667-667,68181,183,Busaiteen,RHA,1,34.6
Property Finder,1746262165-862,107211,288,Busaiteen,RHA,1,34.6
Property Finder,1746262705-1071,65136,175,Busaiteen,RHA,1,34.6
